發生地點,發生時間點,行政區,車種,受傷人數,緯度,經度
臺北市信義區松信路 / 臺北市信義區松隆路,2020/4/5 上午 12:17:00,信義區,普通重型-機車;計程車-小客車,1,25.046891,121.572052
臺北市信義區松信路 / 臺北市信義區松隆路,2020/1/8 下午 06:40:00,信義區,自用-小客車;普通重型-機車,1,25.047257,121.571584
臺北市信義區松信路 / 臺北市信義區松隆路,2020/2/25 下午 02:09:00,信義區,普通輕型-機車;自用-小貨車(含客、貨兩用),1,25.047269,121.571576
臺北市信義區松信路 / 臺北市信義區松隆路,2020/10/18 上午 05:30:00,信義區,自用-小客車;行人-人;腳踏自行車-慢車,2,25.048281,121.57217
臺北市信義區松信路 / 臺北市信義區永吉路,2020/3/28 上午 11:29:00,信義區,租賃車-小客車;普通重型-機車,1,25.043463,121.571986
臺北市信義區松信路 / 臺北市信義區永吉路,2020/3/17 上午 10:30:00,信義區,普通重型-機車;自用-小客車,1,25.043463,121.572016
臺北市信義區松信路 / 臺北市信義區永吉路,2020/6/22 上午 08:48:00,信義區,普通重型-機車;自用-小客車,1,25.044656,121.572084
臺北市信義區松信路 / 臺北市信義區永吉路,2020/4/11 上午 10:25:00,信義區,普通重型-機車;普通重型-機車,1,25.044661,121.572081
臺北市信義區松信路 / 臺北市信義區永吉路,2020/11/3 上午 11:50:00,信義區,計程車-小客車;普通重型-機車,1,25.045575,121.572117
臺北市信義區松信路 / 臺北市信義區永吉路,2020/11/14 上午 09:32:00,信義區,普通重型-機車,1,25.045681,121.572144
臺北市信義區松信路 / 臺北市信義區忠孝東路5段,2020/12/2 上午 06:00:00,信義區,自用-小客車;行人-人,1,25.040919,121.57215
臺北市信義區松信路101號前0.0公尺,2020/3/11 下午 02:18:00,信義區,自用-小貨車(含客、貨兩用);腳踏自行車-慢車,1,25.044963,121.572061
臺北市信義區松信路109號前0.0公尺,2020/5/10 下午 01:13:00,信義區,自用-小客車;普通重型-機車,1,25.044863,121.572088
